timestamp,compression_number,z_value,esp_id,imu_number,ax,ay,az,gx,gy,gz
1772551344.4986272,1,0.0,72570,3,0.464475,-0.512359,-11.750742,-0.231423,-0.130034,-0.014789
1772551344.5035627,1,0.0,72570,4,-0.057461,0.47884,-11.573571,0.005729,-0.010792,-0.003597
1772551344.5084865,1,0.0,72599,1,0.723049,0.35913,-11.664551,-0.006795,0.005462,-0.032375
1772551344.513491,1,0.0,72599,2,1.091756,-0.162806,-11.372458,-0.004397,0.023049,-0.034773
1772551344.5184622,1,0.0,72599,3,0.368707,-0.507571,-11.674128,-0.205842,-0.114579,-0.012524
1772551344.5234144,1,0.0,72599,4,-0.086191,0.407014,-11.63582,-0.001466,0.005329,-0.002665
1772551344.5283291,1,0.0,72628,1,0.751779,0.335188,-11.597513,0.003331,-0.002265,-0.030377
1772551344.5332406,1,0.0,72628,2,1.058237,-0.138864,-11.319786,-0.011724,0.02185,-0.03464
1772551344.5385568,1,0.0,72628,3,0.397437,-0.416591,-11.688493,-0.161743,-0.091397,-0.014389
1772551344.5441387,1,0.0,72628,4,-0.02873,0.416591,-11.568783,-0.014922,-0.005729,-0.003331
1772551344.5491385,1,0.0,72657,1,0.770933,0.373495,-11.583148,0.001865,-0.000133,-0.030776
1772551344.554146,1,0.0,72657,2,1.125275,-0.148441,-11.314998,-0.012657,0.016387,-0.035306
1772551344.5591717,1,0.0,72657,3,0.287304,-0.363919,-11.650186,-0.130833,-0.066882,-0.015988
1772551344.5643585,1,0.0,72657,4,-0.100556,0.459687,-11.631032,-0.014256,0.005329,-0.003198
1772551344.5693495,1,0.0,72686,1,0.746991,0.383072,-11.592725,0.004663,-0.007328,-0.031975
1772551344.574448,1,0.0,72686,2,1.106121,-0.148441,-11.271901,-0.015988,0.020518,-0.03424
1772551344.5795474,1,0.0,72686,3,0.296881,-0.383072,-11.654974,-0.102721,-0.05609,-0.016787
1772551344.5845697,1,0.0,72686,4,-0.114922,0.440533,-11.650186,-0.017187,-0.005329,-0.002798
1772551344.5895379,1,0.0,72715,1,0.766145,0.368707,-11.520899,0.002531,-0.004663,-0.031309
1772551344.5946848,1,0.0,72715,2,1.053449,-0.129287,-11.295844,-0.01279,0.02145,-0.03424
1772551344.6014905,1,0.0,72715,3,0.387861,-0.335188,-11.717223,-0.087,-0.0429,-0.018119
1772551344.607129,1,0.0,72715,4,-0.086191,0.407014,-11.597513,-0.019985,-0.015721,-0.00493
1772551344.617612,1,0.0,72744,1,0.78051,0.392649,-11.573571,0.00453,0.001466,-0.032109
1772551344.6242995,1,0.0,72744,2,1.082179,-0.110133,-11.247959,-0.012257,0.019052,-0.034907
1772551344.6299453,1,0.0,72744,3,0.311246,-0.320823,-11.717223,-0.081005,-0.033175,-0.01732
1772551344.6367202,1,0.0,72744,4,-0.086191,0.459687,-11.611878,-0.024115,-0.01359,-0.00373
1772551344.6473975,1,0.0,72773,1,0.723049,0.373495,-11.549629,0.0004,0.008793,-0.032908
1772551344.6529183,1,0.0,72773,2,1.125275,-0.177171,-11.329363,-0.007727,0.015455,-0.033175
1772551344.6585646,1,0.0,72773,3,0.253785,-0.397437,-11.779472,-0.069413,-0.028245,-0.018386
1772551344.6654236,1,0.0,72773,4,-0.071826,0.435745,-11.659762,-0.019185,-0.007461,-0.002531
1772551344.6761868,1,0.0,72802,1,0.746991,0.3304,-11.616667,-0.009726,-0.008527,-0.031176
1772551344.6817188,1,0.0,72802,2,1.063026,-0.172383,-11.401189,-0.005063,0.006395,-0.032775
1772551344.6873384,1,0.0,72802,3,0.306458,-0.363919,-11.707646,-0.068081,-0.027179,-0.018119
1772551344.6942422,1,0.0,72802,4,-0.057461,0.397437,-11.559206,-0.021184,-0.002398,-0.00453
